rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
486,L0486,McMillan Brook Skarn,K10-009,Other metallic,Met,"Cu, As, Mo, W, Sn, F",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9489_10356,13,325.0,27,1.0,,,46.51478,-60.64575,-9491_10356;-9490_10355;-9490_10356;-9490_10357;-9489_10354;-9489_10355;-9489_10356;-9489_10357;-9489_10358;-9488_10355;-9488_10356;-9488_10357;-9487_10356,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=K10-009,
487,L0487,McMillan Brook Skarn,K10-009,Other metallic,Met,"Cu, As, Mo, W, Sn, F",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9488_10356,13,325.0,27,1.0,,,46.51529,-60.64417,-9490_10356;-9489_10355;-9489_10356;-9489_10357;-9488_10354;-9488_10355;-9488_10356;-9488_10357;-9488_10358;-9487_10355;-9487_10356;-9487_10357;-9486_10356,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=K10-009,
488,L0488,Goffs Scheelite Prospect,D14-014,Other metallic,Met,"W, Au",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9926_9992,13,325.0,27,1.0,,,44.88288,-63.44079,-9928_9992;-9927_9991;-9927_9992;-9927_9993;-9926_9990;-9926_9991;-9926_9992;-9926_9993;-9926_9994;-9925_9991;-9925_9992;-9925_9993;-9924_9992,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D14-014,
489,L0489,Tantallon Pb Prospect (French Village),D12-006,Other metallic,Met,"Pb, Au",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9992_9950,13,325.0,27,1.0,,,44.69154,-63.86533,-9994_9950;-9993_9949;-9993_9950;-9993_9951;-9992_9948;-9992_9949;-9992_9950;-9992_9951;-9992_9952;-9991_9949;-9991_9950;-9991_9951;-9990_9950,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D12-006,
490,L0490,"Grand Lake Au, Ag Prospect",D13-006,Other metallic,Met,"Au, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9956_9989,13,325.0,27,1.0,,,44.87004,-63.63384,-9958_9989;-9957_9988;-9957_9989;-9957_9990;-9956_9987;-9956_9988;-9956_9989;-9956_9990;-9956_9991;-9955_9988;-9955_9989;-9955_9990;-9954_9989,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-006,
491,L0491,Horne Settlement Au Prospect,D13-007,Other metallic,Met,Au,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9946_10005,13,325.0,27,1.0,,,44.94166,-63.56704,-9948_10005;-9947_10004;-9947_10005;-9947_10006;-9946_10003;-9946_10004;-9946_10005;-9946_10006;-9946_10007;-9945_10004;-9945_10005;-9945_10006;-9944_10005,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-007,
492,L0492,Pockwock Au Prospect,D13-009,Other metallic,Met,"Au, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9991_9964,13,325.0,27,1.0,,,44.75715,-63.8588,-9993_9964;-9992_9963;-9992_9964;-9992_9965;-9991_9962;-9991_9963;-9991_9964;-9991_9965;-9991_9966;-9990_9963;-9990_9964;-9990_9965;-9989_9964,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-009,
493,L0493,Pockwock Au Prospect,D13-009,Other metallic,Met,"Au, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9991_9964,13,325.0,27,1.0,,,44.75722,-63.85829,-9993_9964;-9992_9963;-9992_9964;-9992_9965;-9991_9962;-9991_9963;-9991_9964;-9991_9965;-9991_9966;-9990_9963;-9990_9964;-9990_9965;-9989_9964,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-009,
494,L0494,Pockwock Au Prospect,D13-009,Other metallic,Met,"Au, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9991_9964,13,325.0,27,1.0,,,44.75716,-63.85781,-9993_9964;-9992_9963;-9992_9964;-9992_9965;-9991_9962;-9991_9963;-9991_9964;-9991_9965;-9991_9966;-9990_9963;-9990_9964;-9990_9965;-9989_9964,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-009,
495,L0495,Ardoise Hill Ochre Prospect,D13-010,Other metallic,Met,Fe,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10003_10009,13,325.0,27,1.0,,,44.95726,-63.93354,-10005_10009;-10004_10008;-10004_10009;-10004_10010;-10003_10007;-10003_10008;-10003_10009;-10003_10010;-10003_10011;-10002_10008;-10002_10009;-10002_10010;-10001_10009,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-010,
