rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,lat,lon,cell_ids,minfile_url,capsule
303,L0303,Nason Brook,352,Other metallic,Met,"Au, Cu",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10208_10104,13,325.0,17,1.0,,45.38449,-66.65839,-10210_10104;-10209_10103;-10209_10104;-10209_10105;-10208_10102;-10208_10103;-10208_10104;-10208_10105;-10208_10106;-10207_10103;-10207_10104;-10207_10105;-10206_10104,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=352,
304,L0304,Logans Mountain - North,353,Other metallic,Met,"Cu, Mo",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10201_10112,13,325.0,17,1.0,,45.42169,-66.61275,-10203_10112;-10202_10111;-10202_10112;-10202_10113;-10201_10110;-10201_10111;-10201_10112;-10201_10113;-10201_10114;-10200_10111;-10200_10112;-10200_10113;-10199_10112,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=353,
305,L0305,Ormond Lake,354,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10207_10087,13,325.0,17,1.0,,45.30919,-66.65081,-10209_10087;-10208_10086;-10208_10087;-10208_10088;-10207_10085;-10207_10086;-10207_10087;-10207_10088;-10207_10089;-10206_10086;-10206_10087;-10206_10088;-10205_10087,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=354,
306,L0306,Ham Lee Brook &quot;I&quot;,355,Other metallic,Met,Mo,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10211_10088,10,250.0,17,1.0,,45.31502,-66.68274,-10212_10087;-10212_10088;-10211_10086;-10211_10087;-10211_10088;-10211_10089;-10210_10087;-10210_10088;-10210_10089;-10209_10088,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=355,
307,L0307,East Br McDougall Inlet &quot;I&quot;,356,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10221_10107,13,325.0,17,1.0,,45.39975,-66.7472,-10223_10107;-10222_10106;-10222_10107;-10222_10108;-10221_10105;-10221_10106;-10221_10107;-10221_10108;-10221_10109;-10220_10106;-10220_10107;-10220_10108;-10219_10107,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=356,
308,L0308,Tamarack Brook Molybdenite,357,Other metallic,Met,Mo,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10204_10081,13,325.0,17,1.0,,45.27975,-66.63524,-10206_10081;-10205_10080;-10205_10081;-10205_10082;-10204_10079;-10204_10080;-10204_10081;-10204_10082;-10204_10083;-10203_10080;-10203_10081;-10203_10082;-10202_10081,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=357,
309,L0309,Tamarack Brook Cu-Pb*,358,Other metallic,Met,"Cu, Pb",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10204_10081,13,325.0,17,1.0,,45.28197,-66.63581,-10206_10081;-10205_10080;-10205_10081;-10205_10082;-10204_10079;-10204_10080;-10204_10081;-10204_10082;-10204_10083;-10203_10080;-10203_10081;-10203_10082;-10202_10081,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=358,
310,L0310,A Lake North &quot;I&quot;,359,Other metallic,Met,F,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10192_10112,13,325.0,17,1.0,,45.4203,-66.55608,-10194_10112;-10193_10111;-10193_10112;-10193_10113;-10192_10110;-10192_10111;-10192_10112;-10192_10113;-10192_10114;-10191_10111;-10191_10112;-10191_10113;-10190_10112,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=359,
311,L0311,Cundy Lake,360,Other metallic,Met,"Au, Sn, W",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10216_10098,13,325.0,17,1.0,,45.35863,-66.71136,-10218_10098;-10217_10097;-10217_10098;-10217_10099;-10216_10096;-10216_10097;-10216_10098;-10216_10099;-10216_10100;-10215_10097;-10215_10098;-10215_10099;-10214_10098,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=360,
312,L0312,Sandy Point,361,Other metallic,Met,Au,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10117_10092,13,325.0,17,1.0,,45.33086,-66.06413,-10119_10092;-10118_10091;-10118_10092;-10118_10093;-10117_10090;-10117_10091;-10117_10092;-10117_10093;-10117_10094;-10116_10091;-10116_10092;-10116_10093;-10115_10092,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=361,
313,L0313,St Stephen Arena,362,Other metallic,Met,"Co, Cu, Ni",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10301_10064,13,325.0,17,1.0,,45.20448,-67.26887,-10303_10064;-10302_10063;-10302_10064;-10302_10065;-10301_10062;-10301_10063;-10301_10064;-10301_10065;-10301_10066;-10300_10063;-10300_10064;-10300_10065;-10299_10064,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=362,
314,L0314,Burnt Island,363,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10122_10089,13,325.0,17,1.0,,45.31669,-66.09691,-10124_10089;-10123_10088;-10123_10089;-10123_10090;-10122_10087;-10122_10088;-10122_10089;-10122_10090;-10122_10091;-10121_10088;-10121_10089;-10121_10090;-10120_10089,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=363,
315,L0315,McKeel Lake,364,Other metallic,Met,"REE, Sn, U",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10135_10126,13,325.0,17,1.0,,45.48419,-66.1819,-10137_10126;-10136_10125;-10136_10126;-10136_10127;-10135_10124;-10135_10125;-10135_10126;-10135_10127;-10135_10128;-10134_10125;-10134_10126;-10134_10127;-10133_10126,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=364,
316,L0316,Reserve Brook,365,Other metallic,Met,"Ag, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10139_10129,13,325.0,17,1.0,,45.49642,-66.20719,-10141_10129;-10140_10128;-10140_10129;-10140_10130;-10139_10127;-10139_10128;-10139_10129;-10139_10130;-10139_10131;-10138_10128;-10138_10129;-10138_10130;-10137_10129,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=365,
317,L0317,Henderson Lake,366,Other metallic,Met,"Ag, Cu",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10143_10079,13,325.0,17,1.0,,45.2742,-66.2383,-10145_10079;-10144_10078;-10144_10079;-10144_10080;-10143_10077;-10143_10078;-10143_10079;-10143_10080;-10143_10081;-10142_10078;-10142_10079;-10142_10080;-10141_10079,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=366,
318,L0318,Plourde,367,Other metallic,Met,,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10472_10563,13,325.0,17,1.0,,47.44808,-68.38331,-10474_10563;-10473_10562;-10473_10563;-10473_10564;-10472_10561;-10472_10562;-10472_10563;-10472_10564;-10472_10565;-10471_10562;-10471_10563;-10471_10564;-10470_10563,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=367,
319,L0319,Keymet,368,Other metallic,Met,"Ag, Cu, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10078_10643,13,325.0,17,1.0,,47.80605,-65.81206,-10080_10643;-10079_10642;-10079_10643;-10079_10644;-10078_10641;-10078_10642;-10078_10643;-10078_10644;-10078_10645;-10077_10642;-10077_10643;-10077_10644;-10076_10643,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=368,
320,L0320,MacLeod Siding,369,Other metallic,Met,,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10196_10689,12,300.0,17,1.0,,48.01198,-66.58413,-10198_10689;-10197_10688;-10197_10689;-10197_10690;-10196_10688;-10196_10689;-10196_10690;-10196_10691;-10195_10688;-10195_10689;-10195_10690;-10194_10689,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=369,
321,L0321,Quisibis River,370,Other metallic,Met,,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10422_10531,13,325.0,17,1.0,,47.30226,-68.05941,-10424_10531;-10423_10530;-10423_10531;-10423_10532;-10422_10529;-10422_10530;-10422_10531;-10422_10532;-10422_10533;-10421_10530;-10421_10531;-10421_10532;-10420_10531,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=370,
322,L0322,Ferris Brook &quot;I&quot;,371,Other metallic,Met,"Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10161_10134,13,325.0,17,1.0,,45.52002,-66.35385,-10163_10134;-10162_10133;-10162_10134;-10162_10135;-10161_10132;-10161_10133;-10161_10134;-10161_10135;-10161_10136;-10160_10133;-10160_10134;-10160_10135;-10159_10134,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=371,
323,L0323,Tennants Cove *,372,Other metallic,Met,"Cu, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10109_10149,12,300.0,17,1.0,,45.58694,-66.01414,-10111_10149;-10110_10148;-10110_10149;-10110_10150;-10109_10147;-10109_10148;-10109_10149;-10109_10150;-10109_10151;-10108_10148;-10108_10149;-10108_10150,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=372,
